Feature	Correlation	P-value
DIABAGE2	0.045222	1.000000e-300
SEX	-0.070946	1.000000e-300
MARITAL	-0.030004	1.000000e-300
EDUCA	-0.083305	1.000000e-300
RENTHOM1	-0.011919	8.601342e-12
NUMHHOL2	0.000297	8.974516e-01
NUMPHON2	0.006533	5.159134e-01
CPDEMO1	0.037356	1.000000e-300
VETERAN3	-0.090979	1.000000e-300
EMPLOY1	0.207186	1.000000e-300
CHILDREN	0.114094	1.000000e-300
INCOME2	0.001295	4.597323e-01
INTERNET	0.108637	1.000000e-300
WEIGHT2	-0.024641	1.000000e-300
HEIGHT3	-0.014643	1.000000e-300
PREGNANT	0.009304	4.051405e-02
QLACTLM2	-0.114686	1.000000e-300
USEEQUIP	-0.134772	1.000000e-300
BLIND	-0.044756	1.000000e-300
DECIDE	-0.043019	1.000000e-300
DIFFWALK	-0.134324	1.000000e-300
DIFFDRES	-0.057820	1.000000e-300
DIFFALON	-0.068031	1.000000e-300
SMOKE100	-0.074236	1.000000e-300
SMOKDAY2	0.043906	1.000000e-300
STOPSMK2	-0.036056	1.287859e-14
LASTSMK2	0.008817	7.899740e-03
USENOW3	-0.003490	4.934068e-02
ALCDAY5	0.087310	1.000000e-300
AVEDRNK2	0.005410	3.194692e-02
DRNK3GE5	0.052311	1.000000e-300
MAXDRNKS	-0.003560	1.589021e-01
FRUITJU1	-0.001748	3.325781e-01
FRUIT1	0.028261	1.000000e-300
FVBEANS	0.023500	1.000000e-300
FVGREEN	0.049446	1.000000e-300
FVORANG	0.018251	1.000000e-300
VEGETAB1	0.019728	1.000000e-300
EXERANY2	0.047465	1.000000e-300
EXRACT11	0.030174	1.000000e-300
EXEROFT1	0.026482	1.000000e-300
EXERHMM1	0.008059	1.637337e-04
EXRACT21	0.045794	1.000000e-300
EXEROFT2	0.032470	1.000000e-300
EXERHMM2	0.029430	1.000000e-300
STRENGTH	0.065950	1.000000e-300
LMTJOIN3	-0.060897	1.000000e-300
ARTHDIS2	-0.006820	3.011340e-02
ARTHSOCL	-0.090585	1.000000e-300
JOINPAIN	0.038185	1.000000e-300
SEATBELT	0.020595	1.000000e-300
FLUSHOT6	-0.053347	1.000000e-300
FLSHTMY2	0.007014	8.354515e-03
IMFVPLAC	-0.041526	1.000000e-300
PNEUVAC3	-0.103427	1.000000e-300
HIVTST6	0.026778	1.000000e-300
HIVTSTD3	0.046527	1.000000e-300
WHRTST10	0.012824	1.916696e-04
PDIABTST	-0.025759	1.689657e-10
PREDIAB1	-0.061285	1.000000e-300
INSULIN	-0.088287	1.000000e-300
BLDSUGAR	-0.054118	1.332268e-15
FEETCHK2	-0.030804	5.615558e-06
DOCTDIAB	0.032241	2.010574e-06
CHKHEMO3	0.023933	4.204070e-04
FEETCHK	-0.012889	5.873563e-02
EYEEXAM	-0.018320	6.947689e-03
DIABEYE	-0.042046	5.657079e-10
DIABEDU	-0.008291	2.219188e-01
CAREGIV1	0.005162	1.421972e-01
CRGVREL1	0.026270	4.495066e-04
CRGVLNG1	0.031448	2.677961e-05
CRGVHRS1	0.041379	3.326392e-08
CRGVPRB1	0.001890	8.011210e-01
CRGVPERS	0.013486	7.242187e-02
CRGVHOUS	0.011059	1.408521e-01
CRGVMST2	-0.003429	6.484024e-01
CRGVEXPT	0.021406	8.101178e-08
VIDFCLT2	0.080705	8.059544e-05
VIREDIF3	0.066926	1.108991e-03
VIPRFVS2	0.012436	5.453885e-01
VINOCRE2	0.038824	2.735972e-01
VIEYEXM2	-0.034009	1.412550e-01
VIINSUR2	0.008245	6.888722e-01
VICTRCT4	-0.096388	2.596396e-06
VIGLUMA2	0.007413	7.189892e-01
VIMACDG2	-0.045234	2.805825e-02
CIMEMLOS	-0.045883	1.000000e-300
CDHOUSE	-0.090144	1.000000e-300
CDASSIST	-0.104475	1.000000e-300
CDHELP	-0.019909	2.689606e-01
CDSOCIAL	-0.069175	1.017808e-11
CDDISCUS	-0.028380	5.362724e-03
WTCHSALT	-0.073140	1.000000e-300
LONGWTCH	0.005191	4.761904e-01
DRADVISE	-0.143087	1.000000e-300
ASTHMAGE	0.067152	6.031371e-02
ASATTACK	0.073677	1.026754e-01
ASERVIST	-0.117878	7.433749e-02
ASDRVIST	-0.051113	4.416579e-01
ASRCHKUP	-0.034477	4.474191e-01
ASACTLIM	-0.084942	6.045800e-02
ASYMPTOM	-0.066880	1.403065e-01
ASNOSLEP	0.004589	9.325589e-01
ASTHMED3	-0.067743	1.356383e-01
ASINHALR	-0.073066	1.073766e-01
HAREHAB1	0.000000	nan
STREHAB1	-0.012042	7.846335e-01
CVDASPRN	-0.227662	1.000000e-300
ASPUNSAF	-0.098124	1.000000e-300
RLIVPAIN	0.053237	5.578515e-04
RDUCHART	-0.057580	1.882886e-04
RDUCSTRK	-0.013928	3.671709e-01
ARTTODAY	0.119826	1.000000e-300
ARTHWGT	-0.005169	5.326080e-01
ARTHEXER	0.003186	7.005871e-01
ARTHEDU	-0.000494	9.524542e-01
TETANUS	0.029229	3.931649e-07
HPVADVC2	0.024938	2.487602e-02
HPVADSHT	0.006354	8.333129e-01
SHINGLE2	0.001614	8.159419e-01
HADMAM	-0.057115	8.748557e-14
HOWLONG	0.045739	7.299819e-08
HADPAP2	0.016303	3.355068e-02
LASTPAP2	0.111703	1.000000e-300
HPVTEST	0.025758	7.856075e-04
HPLSTTST	0.060315	1.360094e-05
HADHYST2	-0.068257	1.000000e-300
PROFEXAM	-0.010575	4.921420e-01
LENGEXAM	0.077686	2.059846e-06
BLDSTOOL	-0.010737	3.125826e-02
LSTBLDS3	-0.015898	5.389532e-02
HADSIGM3	-0.012431	1.266612e-02
HADSGCO1	0.020923	3.520070e-04
LASTSIG3	-0.011090	5.824426e-02
PCPSAAD2	-0.010350	4.700296e-01
PCPSADI1	-0.002359	8.692955e-01
PCPSARE1	-0.021735	1.295840e-01
PSATEST1	-0.038772	6.824883e-03
PSATIME	0.064864	8.422188e-04
PCPSARS1	0.008991	6.444072e-01
PCPSADE1	0.110888	6.540881e-03
PCDMDECN	0.019180	7.985479e-01
SCNTMNY1	-0.034512	4.440892e-15
SCNTMEL1	-0.056753	1.000000e-300
SCNTPAID	0.055891	1.000000e-300
SCNTWRK1	-0.013801	2.615804e-02
SCNTLPAD	0.031240	1.681623e-05
SCNTLWK1	0.053237	1.000000e-300
SXORIENT	0.013301	2.756332e-06
TRNSGNDR	0.010749	1.521165e-04
RCSGENDR	0.000600	8.992878e-01
RCSRLTN2	0.034481	3.619327e-13
CASTHDX2	0.008812	8.145355e-02
CASTHNO2	-0.020417	1.567242e-01
EMTSUPRT	0.032867	5.394089e-05
LSATISFY	0.045769	1.867056e-08
ADPLEASR	-0.047544	4.729361e-09
ADDOWN	-0.051388	2.476677e-10
ADSLEEP	-0.032599	6.060331e-05
ADENERGY	-0.056870	2.503775e-12
ADEAT1	-0.042406	1.821218e-07
ADFAIL	-0.035133	1.559920e-05
ADTHINK	-0.044251	5.296968e-08
ADMOVE	-0.098230	1.000000e-300
MISTMNT	-0.040396	6.963856e-07
ADANXEV	-0.031806	9.420387e-05
QSTVER	-0.079173	1.000000e-300
QSTLANG	-0.009347	8.594854e-08
MSCODE	0.026054	1.000000e-300
_STSTR	0.005389	2.021591e-03
_STRWT	-0.042676	1.000000e-300
_RAWRAKE	-0.002073	2.349315e-01
_WT2RAKE	-0.040923	1.000000e-300
_CHISPNC	0.095326	1.000000e-300
_CRACE1	0.006759	1.361917e-01
_CPRACE	0.006759	1.361917e-01
_CLLCPWT	-0.009813	3.836935e-02
_DUALUSE	-0.018686	1.000000e-300
_DUALCOR	0.025324	1.000000e-300
_LLCPWT	-0.047774	1.000000e-300
_RFHLTH	0.171599	1.000000e-300
_HCVU651	0.196424	1.000000e-300
_RFHYPE5	0.171319	1.000000e-300
_CHOLCHK	-0.051605	1.000000e-300
_RFCHOL	0.110768	1.000000e-300
_LTASTH1	0.038650	1.000000e-300
_CASTHM1	0.031541	1.000000e-300
_ASTHMS1	-0.035169	1.000000e-300
_DRDXAR1	-0.168366	1.000000e-300
_PRACE1	-0.008565	9.274415e-07
_MRACE1	-0.008130	3.205073e-06
_HISPANC	0.012992	9.880985e-14
_RACE	-0.024742	1.000000e-300
_RACEG21	-0.006100	4.756505e-04
_RACEGR3	-0.020533	1.000000e-300
_RACE_G1	-0.024406	1.000000e-300
_AGEG5YR	0.219007	1.000000e-300
_AGE65YR	0.185245	1.000000e-300
_AGE80	0.224547	1.000000e-300
_AGE_G	0.206873	1.000000e-300
HTIN4	0.011785	3.615641e-11
HTM4	0.011803	3.061906e-11
WTKG3	0.053306	1.000000e-300
_BMI5	0.054293	1.000000e-300
_BMI5CAT	0.061613	1.000000e-300
_RFBMI5	-0.016091	1.000000e-300
_CHLDCNT	-0.094340	1.000000e-300
_EDUCAG	-0.078857	1.000000e-300
_INCOMG	-0.051924	1.000000e-300
_SMOKER3	-0.049057	1.000000e-300
_RFSMOK3	-0.002917	9.477541e-02
DRNKANY5	0.018691	1.000000e-300
DROCDY3_	-0.012348	1.504130e-12
_RFBING5	-0.017971	1.000000e-300
_DRNKWEK	-0.008586	8.725883e-07
_RFDRHV5	-0.010773	6.772671e-10
FTJUDA1_	0.021491	1.000000e-300
FRUTDA1_	-0.032027	1.000000e-300
BEANDAY_	-0.007196	8.376839e-05
GRENDAY_	-0.043627	1.000000e-300
ORNGDAY_	-0.012321	1.584066e-11
VEGEDA1_	-0.017372	1.000000e-300
_MISFRTN	-0.002926	9.376201e-02
_MISVEGN	-0.001330	4.459849e-01
_FRTRESP	-0.001199	4.920676e-01
_VEGRESP	-0.008612	8.086604e-07
_FRUTSUM	-0.015612	1.000000e-300
_VEGESUM	-0.033422	1.000000e-300
_FRTLT1	0.003690	3.451281e-02
_VEGLT1	0.012988	1.003642e-13
_FRT16	-0.002073	2.350035e-01
_VEG23	0.000437	8.022267e-01
_FRUITEX	0.001397	4.235567e-01
_VEGETEX	0.008564	9.297822e-07
_TOTINDA	0.007187	3.835742e-05
METVL11_	-0.024956	1.000000e-300
METVL21_	-0.035463	1.000000e-300
MAXVO2_	-0.029391	1.000000e-300
FC60_	-0.015125	1.000000e-300
ACTIN11_	0.109304	1.000000e-300
ACTIN21_	0.017982	1.000000e-300
PADUR1_	-0.012484	7.473600e-09
PADUR2_	0.015253	7.539333e-09
PAFREQ1_	0.028409	1.000000e-300
PAFREQ2_	0.034418	1.000000e-300
_MINAC11	0.006939	1.362732e-03
_MINAC21	0.004506	3.831467e-02
STRFREQ_	-0.027972	1.000000e-300
PAMISS1_	-0.007194	3.770981e-05
PAMIN11_	0.029019	1.000000e-300
PAMIN21_	0.020133	1.000000e-300
PA1MIN_	0.030256	1.000000e-300
PAVIG11_	0.053011	1.000000e-300
PAVIG21_	0.041994	1.000000e-300
PA1VIGM_	0.062200	1.000000e-300
_PACAT1	0.021266	1.000000e-300
_PAINDX1	0.004110	1.856191e-02
_PA150R2	0.017566	1.000000e-300
_PA300R2	0.012766	2.606804e-13
_PA30021	-0.000888	6.109536e-01
_PASTRNG	0.001643	3.466471e-01
_PAREC1	0.022612	1.000000e-300
_PASTAE1	0.004541	9.289417e-03
_LMTACT1	-0.065284	1.000000e-300
_LMTWRK1	-0.032595	1.000000e-300
_LMTSCL1	-0.089667	1.000000e-300
_RFSEAT2	-0.003747	3.183229e-02
_RFSEAT3	-0.003943	2.390451e-02
_FLSHOT6	-0.030532	1.000000e-300
_PNEUMO2	-0.040098	1.000000e-300
_AIDTST3	0.025758	1.000000e-300
