Feature	Spearman_r	P-value
HOWLONG	0.004561	8.978121e-03
HADPAP2	0.008224	2.463297e-06
LASTPAP2	0.008338	1.786012e-06
HPVTEST	0.008279	2.111318e-06
HPLSTTST	0.006792	9.983425e-05
HADHYST2	0.007929	5.569219e-06
PROFEXAM	0.004796	6.004050e-03
LENGEXAM	0.004529	9.472249e-03
BLDSTOOL	-0.024781	1.000000e-300
LSTBLDS3	-0.010605	1.237670e-09
HADSIGM3	-0.024823	1.000000e-300
HADSGCO1	-0.021316	1.000000e-300
LASTSIG3	-0.021451	1.000000e-300
PCPSAAD2	-0.000195	9.109238e-01
PCPSADI1	-0.000186	9.151883e-01
PCPSARE1	-0.000173	9.212851e-01
PSATEST1	-0.000177	9.192778e-01
PSATIME	-0.000405	8.167011e-01
PCPSARS1	-0.000379	8.281639e-01
PCPSADE1	0.001647	3.454335e-01
PCDMDECN	0.002189	2.098190e-01
SCNTMNY1	-0.004881	5.172240e-03
SCNTMEL1	-0.005919	6.971559e-04
SCNTPAID	0.026698	1.000000e-300
SCNTWRK1	0.026383	1.000000e-300
SCNTLPAD	-0.021172	1.000000e-300
SCNTLWK1	-0.029279	1.000000e-300
SXORIENT	0.002853	1.022023e-01
TRNSGNDR	0.002912	9.527610e-02
RCSGENDR	0.049736	1.000000e-300
RCSRLTN2	0.050437	1.000000e-300
CASTHDX2	0.044149	1.000000e-300
CASTHNO2	0.007181	3.892990e-05
EMTSUPRT	0.006175	4.046170e-04
LSATISFY	0.006259	3.365981e-04
ADPLEASR	-0.006086	4.897963e-04
ADDOWN	-0.006053	5.259844e-04
ADSLEEP	-0.005992	5.977977e-04
ADENERGY	-0.005993	5.963860e-04
ADEAT1	-0.006042	5.374409e-04
ADFAIL	-0.006065	5.121486e-04
ADTHINK	-0.006049	5.299389e-04
ADMOVE	-0.006088	4.872628e-04
MISTMNT	-0.006005	5.815737e-04
ADANXEV	-0.005975	6.195142e-04
QSTVER	-0.073672	1.000000e-300
QSTLANG	-0.009383	7.649704e-08
MSCODE	-0.058964	1.000000e-300
_STSTR	0.003778	3.043371e-02
_STRWT	-0.046035	1.000000e-300
_RAWRAKE	0.004452	1.076854e-02
_WT2RAKE	-0.047544	1.000000e-300
_CHISPNC	0.048738	1.000000e-300
_CRACE1	0.054325	1.000000e-300
_CPRACE	0.054325	1.000000e-300
_CLLCPWT	0.049671	1.000000e-300
_DUALUSE	-0.025566	1.000000e-300
_DUALCOR	-0.003713	3.343824e-02
_LLCPWT	-0.058271	1.000000e-300
_RFHLTH	0.234495	1.000000e-300
_HCVU651	0.185619	1.000000e-300
_RFHYPE5	0.216464	1.000000e-300
_CHOLCHK	-0.090470	1.000000e-300
_RFCHOL	0.075372	1.000000e-300
_LTASTH1	0.050542	1.000000e-300
_CASTHM1	0.057385	1.000000e-300
_ASTHMS1	-0.047331	1.000000e-300
_DRDXAR1	-0.164535	1.000000e-300
_PRACE1	-0.019651	1.000000e-300
_MRACE1	-0.016509	1.000000e-300
_HISPANC	0.027291	1.000000e-300
_RACE	-0.025982	1.000000e-300
_RACEG21	-0.024145	1.000000e-300
_RACEGR3	-0.025835	1.000000e-300
_RACE_G1	-0.024552	1.000000e-300
_AGEG5YR	0.225620	1.000000e-300
_AGE65YR	0.194770	1.000000e-300
_AGE80	0.232911	1.000000e-300
_AGE_G	0.219518	1.000000e-300
HTIN4	0.009911	1.365898e-08
HTM4	0.011541	3.801159e-11
WTKG3	0.041972	1.000000e-300
_BMI5	0.042701	1.000000e-300
_BMI5CAT	0.038499	1.000000e-300
_RFBMI5	0.029665	1.000000e-300
_CHLDCNT	-0.116875	1.000000e-300
_EDUCAG	-0.082258	1.000000e-300
_INCOMG	-0.072594	1.000000e-300
_SMOKER3	-0.089552	1.000000e-300
_RFSMOK3	0.012621	4.818368e-13
DRNKANY5	0.075908	1.000000e-300
DROCDY3_	-0.075596	1.000000e-300
_RFBING5	-0.052325	1.000000e-300
_DRNKWEK	-0.078682	1.000000e-300
_RFDRHV5	-0.022911	1.000000e-300
FTJUDA1_	0.007859	6.731951e-06
FRUTDA1_	-0.036853	1.000000e-300
BEANDAY_	-0.015643	1.000000e-300
GRENDAY_	-0.056461	1.000000e-300
ORNGDAY_	-0.020872	1.000000e-300
VEGEDA1_	-0.014225	4.440892e-16
_MISFRTN	0.000486	7.809048e-01
_MISVEGN	0.007262	3.186283e-05
_FRTRESP	-0.001199	4.920764e-01
_VEGRESP	-0.008612	8.086934e-07
_FRUTSUM	-0.019278	1.000000e-300
_VEGESUM	-0.029324	1.000000e-300
_FRTLT1	0.010971	3.275011e-10
_VEGLT1	0.027375	1.000000e-300
_FRT16	-0.002073	2.350034e-01
_VEG23	0.000437	8.022266e-01
_FRUITEX	0.001310	4.531302e-01
_VEGETEX	0.008590	8.616578e-07
_TOTINDA	0.058491	1.000000e-300
METVL11_	0.042348	1.000000e-300
METVL21_	0.040338	1.000000e-300
MAXVO2_	-0.230116	1.000000e-300
FC60_	-0.230121	1.000000e-300
ACTIN11_	0.095299	1.000000e-300
ACTIN21_	0.058220	1.000000e-300
PADUR1_	0.038730	1.000000e-300
PADUR2_	0.060372	1.000000e-300
PAFREQ1_	0.067837	1.000000e-300
PAFREQ2_	0.068772	1.000000e-300
_MINAC11	0.057293	1.000000e-300
_MINAC21	0.050871	1.000000e-300
STRFREQ_	-0.050099	1.000000e-300
PAMISS1_	-0.001991	2.539732e-01
PAMIN11_	0.068215	1.000000e-300
PAMIN21_	0.052683	1.000000e-300
PA1MIN_	0.062386	1.000000e-300
PAVIG11_	0.092511	1.000000e-300
PAVIG21_	0.075195	1.000000e-300
PA1VIGM_	0.088903	1.000000e-300
_PACAT1	0.039615	1.000000e-300
_PAINDX1	0.031714	1.000000e-300
_PA150R2	0.046624	1.000000e-300
_PA300R2	0.039814	1.000000e-300
_PA30021	0.009094	1.895812e-07
_PASTRNG	0.029440	1.000000e-300
_PAREC1	0.041181	1.000000e-300
_PASTAE1	0.027389	1.000000e-300
_LMTACT1	-0.144459	1.000000e-300
_LMTWRK1	-0.128949	1.000000e-300
_LMTSCL1	-0.144370	1.000000e-300
_RFSEAT2	0.008073	3.751306e-06
_RFSEAT3	0.005786	9.190364e-04
_FLSHOT6	-0.171656	1.000000e-300
_PNEUMO2	-0.176720	1.000000e-300
_AIDTST3	0.031866	1.000000e-300
