Feature1,Feature2,Spearman_r
NUMHHOL2,_RAWRAKE,0.582653
NUMHHOL2,_DUALUSE,-0.578733
NUMHHOL2,_DUALCOR,0.517196
CPDEMO1,QSTVER,0.507672
CPDEMO1,_DUALUSE,0.930998
CPDEMO1,_DUALCOR,-0.576859
EMPLOY1,_AGEG5YR,0.509104
EMPLOY1,_AGE80,0.518930
EMPLOY1,_AGE_G,0.505410
EMPLOY1,MAXVO2_,-0.512663
EMPLOY1,FC60_,-0.512648
CHILDREN,CASTHDX2,0.547121
CHILDREN,_CHISPNC,0.577857
CHILDREN,_CRACE1,0.605956
CHILDREN,_CPRACE,0.605956
CHILDREN,_CHLDCNT,-0.867668
INCOME2,_INCOMG,0.975134
WEIGHT2,WTKG3,0.908532
WEIGHT2,_BMI5,0.767613
WEIGHT2,_BMI5CAT,0.630125
WEIGHT2,_RFBMI5,0.726465
HEIGHT3,HTIN4,0.943277
HEIGHT3,HTM4,0.937714
PREGNANT,_AGE_G,0.507610
QLACTLM2,DIFFWALK,0.539155
USEEQUIP,DIFFWALK,0.553141
DIFFDRES,DIFFALON,0.583386
SMOKE100,_SMOKER3,0.887422
SMOKDAY2,_RFSMOK3,-0.613181
ALCDAY5,AVEDRNK2,0.644037
ALCDAY5,MAXDRNKS,0.614562
ALCDAY5,DRNKANY5,0.861405
ALCDAY5,DROCDY3_,-0.729884
ALCDAY5,_DRNKWEK,-0.734659
AVEDRNK2,DRNK3GE5,-0.669695
AVEDRNK2,MAXDRNKS,0.797396
AVEDRNK2,DRNKANY5,0.672271
DRNK3GE5,MAXDRNKS,-0.799396
DRNK3GE5,_RFBING5,-0.540530
MAXDRNKS,DRNKANY5,0.619584
FRUITJU1,FTJUDA1_,-0.801878
FRUIT1,_FRTLT1,0.563415
EXERANY2,_TOTINDA,0.943997
EXERANY2,_PACAT1,0.701994
EXERANY2,_PAINDX1,0.596949
EXERANY2,_PA150R2,0.742842
EXERANY2,_PA300R2,0.711596
EXERANY2,_PAREC1,0.583200
EXRACT11,METVL11_,-0.764077
EXERHMM1,PADUR1_,0.992088
EXERHMM1,_MINAC11,0.654057
EXERHMM1,PAMIN11_,0.625299
EXERHMM1,PA1MIN_,0.535020
EXRACT21,METVL21_,-0.618033
EXRACT21,ACTIN21_,-0.558632
EXRACT21,PAVIG21_,-0.540256
EXERHMM2,PADUR2_,0.984371
STRENGTH,STRFREQ_,-0.888752
STRENGTH,_PASTRNG,0.534425
LMTJOIN3,ARTHSOCL,0.506951
SEATBELT,_RFSEAT2,0.767309
SEATBELT,_RFSEAT3,0.965320
FLUSHOT6,FLSHTMY2,0.793740
PNEUVAC3,_FLSHOT6,0.518792
PNEUVAC3,_PNEUMO2,0.612977
HIVTST6,WHRTST10,0.522766
HIVTST6,_AIDTST3,0.999989
WHRTST10,_AIDTST3,0.522772
DOCTDIAB,CHKHEMO3,0.664741
CAREGIV1,CRGVEXPT,-0.769395
VIDFCLT2,VIGLUMA2,-0.516592
VIDFCLT2,VIMACDG2,-0.555395
VIPRFVS2,VIEYEXM2,0.668695
VIGLUMA2,VIMACDG2,0.788016
CDHOUSE,CDSOCIAL,0.548906
CVDASPRN,ASPUNSAF,0.654089
RLIVPAIN,RDUCHART,-0.550545
RDUCHART,RDUCSTRK,0.558605
HADMAM,HADPAP2,0.637987
HADSIGM3,HADSGCO1,0.831286
PCPSAAD2,PCPSARE1,0.656991
PCPSAAD2,PSATEST1,0.647482
PCPSARE1,PSATEST1,0.723992
SCNTMNY1,SCNTMEL1,0.575043
SXORIENT,TRNSGNDR,0.886099
RCSRLTN2,CASTHDX2,0.604117
RCSRLTN2,_CRACE1,0.589881
RCSRLTN2,_CPRACE,0.589881
CASTHDX2,_CHISPNC,0.577318
CASTHDX2,_CRACE1,0.822658
CASTHDX2,_CPRACE,0.822658
CASTHDX2,_CHLDCNT,-0.538804
ADPLEASR,ADDOWN,0.588441
ADPLEASR,ADFAIL,0.527931
ADPLEASR,ADTHINK,0.530952
ADDOWN,ADFAIL,0.665382
ADDOWN,ADTHINK,0.606034
ADDOWN,ADMOVE,0.570997
ADDOWN,MISTMNT,0.555403
ADDOWN,ADANXEV,0.547299
ADFAIL,ADTHINK,0.695600
ADFAIL,ADMOVE,0.658055
ADFAIL,MISTMNT,0.624675
ADFAIL,ADANXEV,0.609433
ADTHINK,ADMOVE,0.709986
ADTHINK,MISTMNT,0.645406
ADTHINK,ADANXEV,0.628586
ADMOVE,MISTMNT,0.634778
ADMOVE,ADANXEV,0.622890
MISTMNT,ADANXEV,0.736376
QSTVER,_STRWT,0.539247
QSTVER,_RAWRAKE,-0.537940
QSTVER,_DUALUSE,0.601530
QSTLANG,_HISPANC,-0.608382
_STRWT,_WT2RAKE,0.944872
_STRWT,_LLCPWT,0.784952
_WT2RAKE,_LLCPWT,0.855588
_CHISPNC,_CRACE1,0.646173
_CHISPNC,_CPRACE,0.646173
_CHISPNC,_CHLDCNT,-0.563796
_CRACE1,_CPRACE,1.000000
_CRACE1,_CHLDCNT,-0.592610
_CPRACE,_CHLDCNT,-0.592610
_HCVU651,_AGEG5YR,0.766405
_HCVU651,_AGE65YR,0.941313
_HCVU651,_AGE80,0.749403
_HCVU651,_AGE_G,0.771898
_HCVU651,MAXVO2_,-0.709212
_HCVU651,FC60_,-0.709213
_HCVU651,_FLSHOT6,-0.700053
_HCVU651,_PNEUMO2,-0.650314
_LTASTH1,_CASTHM1,0.824285
_LTASTH1,_ASTHMS1,-0.887620
_CASTHM1,_ASTHMS1,-0.721138
_DRDXAR1,_LMTACT1,0.809691
_DRDXAR1,_LMTWRK1,0.777352
_DRDXAR1,_LMTSCL1,0.809914
_PRACE1,_MRACE1,0.961335
_PRACE1,_RACE,0.783050
_PRACE1,_RACEG21,0.825712
_PRACE1,_RACEGR3,0.782904
_PRACE1,_RACE_G1,0.804845
_MRACE1,_RACE,0.811460
_MRACE1,_RACEG21,0.850027
_MRACE1,_RACEGR3,0.811339
_MRACE1,_RACE_G1,0.843003
_HISPANC,_RACE,-0.508738
_HISPANC,_RACEGR3,-0.508771
_RACE,_RACEG21,0.991209
_RACE,_RACEGR3,0.999934
_RACE,_RACE_G1,0.982726
_RACEG21,_RACEGR3,0.991274
_RACEG21,_RACE_G1,0.981825
_RACEGR3,_RACE_G1,0.982791
_AGEG5YR,_AGE65YR,0.834947
_AGEG5YR,_AGE80,0.975748
_AGEG5YR,_AGE_G,0.952499
_AGEG5YR,MAXVO2_,-0.915025
_AGEG5YR,FC60_,-0.915085
_AGEG5YR,_FLSHOT6,-0.593129
_AGEG5YR,_PNEUMO2,-0.552711
_AGE65YR,_AGE80,0.802086
_AGE65YR,_AGE_G,0.825108
_AGE65YR,MAXVO2_,-0.746296
_AGE65YR,FC60_,-0.746297
_AGE65YR,_FLSHOT6,-0.712725
_AGE65YR,_PNEUMO2,-0.661001
_AGE80,_AGE_G,0.970308
_AGE80,MAXVO2_,-0.970990
_AGE80,FC60_,-0.971051
_AGE80,_FLSHOT6,-0.644563
_AGE80,_PNEUMO2,-0.603579
_AGE_G,MAXVO2_,-0.942033
_AGE_G,FC60_,-0.942085
_AGE_G,_FLSHOT6,-0.665058
_AGE_G,_PNEUMO2,-0.619607
HTIN4,HTM4,0.997304
HTIN4,WTKG3,0.510703
HTM4,WTKG3,0.511519
WTKG3,_BMI5,0.825440
WTKG3,_BMI5CAT,0.768884
WTKG3,_RFBMI5,0.583815
_BMI5,_BMI5CAT,0.910451
_BMI5,_RFBMI5,0.713531
_BMI5CAT,_RFBMI5,0.655728
DRNKANY5,DROCDY3_,-0.604874
DRNKANY5,_DRNKWEK,-0.607026
DROCDY3_,_RFBING5,0.565850
DROCDY3_,_DRNKWEK,0.983921
DROCDY3_,_RFDRHV5,0.521282
_RFBING5,_DRNKWEK,0.618166
_RFBING5,_RFDRHV5,0.648962
_DRNKWEK,_RFDRHV5,0.564707
FTJUDA1_,_FRUTSUM,0.523237
FRUTDA1_,_FRUTSUM,0.837765
GRENDAY_,_VEGESUM,0.714257
ORNGDAY_,_VEGESUM,0.584650
VEGEDA1_,_VEGESUM,0.714692
_MISFRTN,_MISVEGN,0.768488
_MISFRTN,_FRTRESP,-0.998935
_MISFRTN,_VEGRESP,-0.745264
_MISFRTN,_FRTLT1,0.581413
_MISFRTN,_VEGLT1,0.520245
_MISFRTN,_FRUITEX,0.997483
_MISFRTN,_VEGETEX,0.744731
_MISFRTN,PAMISS1_,0.661009
_MISFRTN,_RFSEAT2,0.608446
_MISFRTN,_RFSEAT3,0.526434
_MISVEGN,_FRTRESP,-0.756319
_MISVEGN,_VEGRESP,-0.998252
_MISVEGN,_VEGLT1,0.685605
_MISVEGN,_FRUITEX,0.755467
_MISVEGN,_VEGETEX,0.997526
_MISVEGN,PAMISS1_,0.702614
_MISVEGN,_PASTAE1,0.505878
_MISVEGN,_RFSEAT2,0.639104
_MISVEGN,_RFSEAT3,0.551296
_FRTRESP,_VEGRESP,0.734084
_FRTRESP,_FRTLT1,-0.582033
_FRTRESP,_VEGLT1,-0.513153
_FRTRESP,_FRUITEX,-0.998546
_FRTRESP,_VEGETEX,-0.733559
_FRTRESP,PAMISS1_,-0.647877
_FRTRESP,_RFSEAT2,-0.594787
_FRTRESP,_RFSEAT3,-0.514588
_VEGRESP,_VEGLT1,-0.686806
_VEGRESP,_FRUITEX,-0.733277
_VEGRESP,_VEGETEX,-0.999273
_VEGRESP,PAMISS1_,-0.683980
_VEGRESP,_RFSEAT2,-0.619344
_VEGRESP,_RFSEAT3,-0.533986
_FRUTSUM,_FRTLT1,-0.582726
_FRTLT1,_FRUITEX,0.580663
_VEGLT1,_FRUITEX,0.512451
_VEGLT1,_VEGETEX,0.686143
_FRUITEX,_VEGETEX,0.733185
_FRUITEX,PAMISS1_,0.647014
_FRUITEX,_RFSEAT2,0.593963
_FRUITEX,_RFSEAT3,0.513858
_VEGETEX,PAMISS1_,0.683544
_VEGETEX,_RFSEAT2,0.618901
_VEGETEX,_RFSEAT3,0.533614
_TOTINDA,_PACAT1,0.756847
_TOTINDA,_PAINDX1,0.679793
_TOTINDA,_PA150R2,0.798954
_TOTINDA,_PA300R2,0.767198
_TOTINDA,_PA30021,0.538733
_TOTINDA,_PAREC1,0.656574
METVL11_,ACTIN11_,0.583317
METVL11_,PAVIG11_,0.544194
METVL21_,ACTIN21_,0.968496
METVL21_,_MINAC21,0.528204
METVL21_,PAMIN21_,0.543157
MAXVO2_,FC60_,0.999998
MAXVO2_,_FLSHOT6,0.672478
MAXVO2_,_PNEUMO2,0.631152
FC60_,_FLSHOT6,0.672479
FC60_,_PNEUMO2,0.631155
ACTIN11_,PAVIG11_,0.914980
ACTIN11_,PA1VIGM_,0.740438
ACTIN21_,_MINAC21,0.553360
ACTIN21_,PAMIN21_,0.585446
PADUR1_,_MINAC11,0.657833
PADUR1_,PAMIN11_,0.628753
PADUR1_,PA1MIN_,0.556572
PAFREQ1_,_MINAC11,0.520473
_MINAC11,PAMIN11_,0.890508
_MINAC11,PA1MIN_,0.717987
_MINAC21,PAMIN21_,0.937963
_MINAC21,PA1MIN_,0.663453
_MINAC21,PAVIG21_,0.547002
STRFREQ_,_PASTRNG,-0.548843
PAMISS1_,_PACAT1,0.551063
PAMISS1_,_PAINDX1,0.558344
PAMISS1_,_PA150R2,0.541912
PAMISS1_,_PA300R2,0.558600
PAMISS1_,_PA30021,0.607114
PAMISS1_,_PAREC1,0.533379
PAMISS1_,_PASTAE1,0.657815
PAMISS1_,_RFSEAT2,0.661792
PAMISS1_,_RFSEAT3,0.570616
PAMIN11_,PA1MIN_,0.772328
PAMIN11_,PAVIG11_,0.596104
PAMIN11_,PA1VIGM_,0.573232
PAMIN21_,PA1MIN_,0.684200
PAMIN21_,PAVIG21_,0.685360
PAMIN21_,PA1VIGM_,0.515238
PA1MIN_,PAVIG11_,0.518255
PA1MIN_,PA1VIGM_,0.662632
PAVIG11_,PA1VIGM_,0.829773
PAVIG21_,PA1VIGM_,0.654935
_PACAT1,_PAINDX1,0.916145
_PACAT1,_PA150R2,0.944995
_PACAT1,_PA300R2,0.986507
_PACAT1,_PA30021,0.907677
_PACAT1,_PAREC1,0.860739
_PACAT1,_PASTAE1,0.630566
_PAINDX1,_PA150R2,0.970571
_PAINDX1,_PA300R2,0.849552
_PAINDX1,_PA30021,0.788902
_PAINDX1,_PAREC1,0.924397
_PAINDX1,_PASTAE1,0.676942
_PA150R2,_PA300R2,0.903193
_PA150R2,_PA30021,0.765686
_PA150R2,_PAREC1,0.906393
_PA150R2,_PASTAE1,0.657126
_PA300R2,_PA30021,0.920091
_PA300R2,_PAREC1,0.803220
_PA300R2,_PASTAE1,0.607753
_PA30021,_PAREC1,0.735743
_PA30021,_PASTAE1,0.606901
_PASTRNG,_PAREC1,0.689061
_PASTRNG,_PASTAE1,0.809954
_PAREC1,_PASTAE1,0.836004
_LMTACT1,_LMTWRK1,0.918329
_LMTACT1,_LMTSCL1,0.953304
_LMTWRK1,_LMTSCL1,0.923700
_RFSEAT2,_RFSEAT3,0.847038
_FLSHOT6,_PNEUMO2,0.920434
